t,theta
0,0.352275
0.0166667,0.381523
0.0333333,0.410173
0.05,0.438568
0.0666667,0.468213
0.0833333,0.49713
0.1,0.527473
0.116667,0.556296
0.133333,0.586872
0.15,0.617658
0.166667,0.644607
0.183333,0.675838
0.2,0.706942
0.216667,0.73713
0.233333,0.768131
0.25,0.798044
0.266667,0.828284
0.283333,0.859297
0.3,0.891622
0.316667,0.92093
0.333333,0.95376
0.35,0.984068
0.366667,1.01524
0.383333,1.04698
0.4,1.07832
0.416667,1.11012
0.433333,1.14057
0.45,1.174
0.466667,1.20542
0.483333,1.2372
0.5,1.26737
0.516667,1.29873
0.533333,1.33181
0.55,1.36138
0.566667,1.39366
0.583333,1.42599
0.6,1.45661
0.616667,1.4879
0.633333,1.52019
0.65,1.5516
0.666667,1.5836
0.683333,1.61527
0.7,1.64452
0.716667,1.6764
0.733333,1.70819
0.75,1.73896
0.766667,1.77055
0.783333,1.80019
0.8,1.83147
0.816667,1.86195
0.833333,1.89245
0.85,1.92285
0.866667,1.95216
0.883333,1.98193
0.9,2.0122
0.916667,2.04143
0.933333,2.07336
0.95,2.10253
0.966667,2.13101
0.983333,2.16136
1,2.19014
1.01667,2.2196
1.03333,2.24707
1.05,2.27619
1.06667,2.30489
1.08333,2.33175
1.1,2.36155
1.11667,2.38718
1.13333,2.41409
1.15,2.44174
1.16667,2.4708
1.18333,2.49572
1.2,2.52222
1.21667,2.54954
1.23333,2.57602
1.25,2.60019
1.26667,2.62655
1.28333,2.65221
1.3,2.6771
1.31667,2.70275
1.33333,2.72775
1.35,2.75201
1.36667,2.77645
1.38333,2.80043
1.4,2.82457
1.41667,2.84851
1.43333,2.87019
1.45,2.89329
1.46667,2.9169
1.48333,2.93995
1.5,2.96045
1.51667,2.98293
1.53333,3.00461
1.55,3.02725
1.56667,3.04694
1.58333,3.06824
1.6,3.0908
1.61667,3.11064
1.63333,3.13176
1.65,3.14982
1.66667,3.1698
1.68333,3.19062
1.7,3.20841
1.71667,3.22875
1.73333,3.24663
1.75,3.26489
1.76667,3.28317
1.78333,3.30171
1.8,3.31989
1.81667,3.33714
1.83333,3.35561
1.85,3.37116
1.86667,3.39017
1.88333,3.40703
1.9,3.42258
1.91667,3.43972
1.93333,3.45674
1.95,3.47399
1.96667,3.48781
1.98333,3.50507
2,3.51866
2.01667,3.53651
2.03333,3.55142
2.05,3.56608
2.06667,3.58136
2.08333,3.59668
2.1,3.60982
2.11667,3.62446
2.13333,3.63989
2.15,3.65398
2.16667,3.66888
2.18333,3.68159
2.2,3.69524
2.21667,3.71056
2.23333,3.7245
2.25,3.73826
2.26667,3.75261
2.28333,3.76567
2.3,3.77853
2.31667,3.7914
2.33333,3.80646
2.35,3.81913
2.36667,3.83173
2.38333,3.84454
2.4,3.85964
2.41667,3.87247
2.43333,3.88634
2.45,3.89919
2.46667,3.91204
2.48333,3.92491
2.5,3.9378
2.51667,3.95063
2.53333,3.96754
2.55,3.98037
2.56667,3.99248
2.58333,4.00531
2.6,4.02039
2.61667,4.03462
2.63333,4.0474
2.65,4.06122
2.66667,4.07524
2.68333,4.09078
2.7,4.10337
2.71667,4.1178
2.73333,4.13335
2.75,4.14763
2.76667,4.1608
2.78333,4.1771
